ticket_id,ticket_text,issue_type,urgency_level,product
1,payment issue SmartWatch V2 underbilled 29224,Billing Problem,Medium,SmartWatch V2
2,tell UltraClean Vacuum warranty also available white,General Inquiry,Low,UltraClean Vacuum
3,ordered SoundWave 300 got EcoBreeze AC instead 36824,Wrong Item,Medium,SoundWave 300
4,facing installation issue PhotoSnap Cam setup fails step 1,Installation Issue,Low,PhotoSnap Cam
5,30903 led Vision LED TV 13 day late ordered 03 march also contacted 03 march got response,Late Delivery,Medium,Vision LED TV
6,tell PhotoSnap Cam warranty also available red,General Inquiry,Medium,PhotoSnap Cam
7,malfunction stopped working 7 day,Product Defect,Low,EcoBreeze AC
8,facing installation issue RoboChef Blender setup fails step 3 also contacted 17 march got response,Installation Issue,High,RoboChef Blender
9,FitRun Treadmill UltraClean Vacuum error giving issue,Product Defect,High,FitRun Treadmill
10,nan,Product Defect,High,PhotoSnap Cam
11,nan,,Medium,Vision LED TV
12,34285 placed 18 march still,Late Delivery,Medium,RoboChef Blender
13,led Vision LED TV response stopped working 9 day,Product Defect,Low,Vision LED TV
14,PowerMax Battery EcoBreeze AC lost giving issue also contacted 12 march got response,Product Defect,High,PowerMax Battery
15,53356 RoboChef Blender 18 day late ordered 13 april,Late Delivery,High,RoboChef Blender
16,49712 RoboChef Blender 4 day late ordered 25 april,Late Delivery,Medium,RoboChef Blender
17,received wrong product mixed also contacted 03 march got response,Wrong Item,Medium,Vision LED TV
18,received wrong product mixed,Wrong Item,High,PhotoSnap Cam
19,cant log account keep showing unknown issue help,Account Access,High,PhotoSnap Cam
20,login working,Account Access,High,ProTab X1
21,PhotoSnap Cam faulty stopped working 1 day,Product Defect,Medium,PhotoSnap Cam
22,payment issue RoboChef Blender refunded 47429 also contacted 02 march got response,Billing Problem,Medium,RoboChef Blender
23,FitRun Treadmill damaged stopped working 9 day,Product Defect,Low,FitRun Treadmill
24,cant log account keep showing blocked help,Account Access,Low,EcoBreeze AC
25,tell FitRun Treadmill warranty also available black,General Inquiry,Low,FitRun Treadmill
26,facing installation issue RoboChef Blender setup fails step 6,Installation Issue,Medium,RoboChef Blender
27,facing installation issue wit led Vision LED TV setup fails step 6,Installation Issue,Low,Vision LED TV
28,tell RoboChef Blender warranty also available blue,General Inquiry,Medium,RoboChef Blender
29,FitRun Treadmill malfunction stopped working 2 day,Product Defect,Low,FitRun Treadmill
30,28983 SmartWatch V2 17 day late ordered 05 may also contacted 05 may got response,Late Delivery,High,SmartWatch V2
31,payment issue fr mi EcoBreeze AC charged twice fr 64374,Billing Problem,Low,EcoBreeze AC
32,FitRun Treadmill lost stopped working 3 day also contacted 08 may got response,Product Defect,Low,FitRun Treadmill
33,79265 EcoBreeze AC 15 day late ordered 17 march,Late Delivery,Low,EcoBreeze AC
34,payment problem fr 88128 need urgent help,Billing Problem,Low,RoboChef Blender
35,58187 EcoBreeze AC 11 day late ordered 30 march,Late Delivery,Low,EcoBreeze AC
36,RoboChef Blender malfunction stopped working 9 day,Product Defect,High,RoboChef Blender
37,cant log account keep showing blocked help delivery expected 04 march,Account Access,High,FitRun Treadmill
38,nan,Billing Problem,High,PhotoSnap Cam
39,payment issue ProTab X1 charged twice 14510,Billing Problem,Medium,ProTab X1
40,facing installation issue FitRun Treadmill setup fails step 4,Installation Issue,High,FitRun Treadmill
41,payment issue FitRun Treadmill refunded 91776,Billing Problem,Low,FitRun Treadmill
42,cant log account keep showing captcha failed help,Account Access,Medium,PhotoSnap Cam
43,nan,Billing Problem,Medium,ProTab X1
44,cant log account keep showing unknown issue help,Account Access,High,SoundWave 300
45,facing installation issue RoboChef Blender setup fails step 2,Installation Issue,Low,RoboChef Blender
46,tell warranty also available black,General Inquiry,High,UltraClean Vacuum
47,facing installation issue PowerMax Battery setup fails step 2,Installation Issue,Medium,PowerMax Battery
48,tell ProTab X1 warranty also available red,General Inquiry,Low,ProTab X1
49,facing installation issue wit EcoBreeze AC setup fails step 2,Installation Issue,Medium,EcoBreeze AC
50,led Vision LED TV lost stopped working 3 day also contacted 18 may got response,Product Defect,High,Vision LED TV
51,tell ProTab X1 warranty also available white also contacted 04 april got response delivery expected 04 april,General Inquiry,High,ProTab X1
