ticket_id,ticket_text,issue_type,urgency_level,product,ticket_length,char_count,sentiment_score,monetary_value,priority_score
1,payment issue SmartWatch V2 underbilled 29224,Billing Problem,Medium,SmartWatch V2,6,45,0.0,29226.0,2
2,tell UltraClean Vacuum warranty also available white,General Inquiry,Low,UltraClean Vacuum,7,52,0.0,0.0,1
3,ordered SoundWave 300 got EcoBreeze AC instead 36824,Wrong Item,Medium,SoundWave 300,8,52,0.0,37124.0,2
4,facing installation issue PhotoSnap Cam setup fails step 1,Installation Issue,Low,PhotoSnap Cam,9,58,-0.4215,1.0,1
5,30903 led Vision LED TV 13 day late ordered 03 march also contacted 03 march got response,Late Delivery,Medium,Vision LED TV,17,89,0.25,30922.0,2
6,tell PhotoSnap Cam warranty also available red,General Inquiry,Medium,PhotoSnap Cam,7,46,0.0,0.0,2
7,malfunction stopped working 7 day,Product Defect,Low,EcoBreeze AC,5,33,-0.2263,7.0,1
8,facing installation issue RoboChef Blender setup fails step 3 also contacted 17 march got response,Installation Issue,High,RoboChef Blender,15,98,-0.4215,20.0,3
9,FitRun Treadmill UltraClean Vacuum error giving issue,Product Defect,High,FitRun Treadmill,7,53,-0.0772,0.0,3
10,,Product Defect,High,PhotoSnap Cam,1,3,0.0,0.0,3
11,,,Medium,Vision LED TV,1,3,0.0,0.0,2
12,34285 placed 18 march still,Late Delivery,Medium,RoboChef Blender,5,27,0.0,34303.0,2
13,led Vision LED TV response stopped working 9 day,Product Defect,Low,Vision LED TV,9,48,0.0258,9.0,1
14,PowerMax Battery EcoBreeze AC lost giving issue also contacted 12 march got response,Product Defect,High,PowerMax Battery,13,84,0.0258,12.0,3
15,53356 RoboChef Blender 18 day late ordered 13 april,Late Delivery,High,RoboChef Blender,9,51,0.0,53387.0,3
16,49712 RoboChef Blender 4 day late ordered 25 april,Late Delivery,Medium,RoboChef Blender,9,50,0.0,49741.0,2
17,received wrong product mixed also contacted 03 march got response,Wrong Item,Medium,Vision LED TV,10,65,-0.4767,3.0,2
18,received wrong product mixed,Wrong Item,High,PhotoSnap Cam,4,28,-0.4767,0.0,3
19,cant log account keep showing unknown issue help,Account Access,High,PhotoSnap Cam,8,48,0.4019,0.0,3
20,login working,Account Access,High,ProTab X1,2,13,0.0,0.0,3
21,PhotoSnap Cam faulty stopped working 1 day,Product Defect,Medium,PhotoSnap Cam,7,42,-0.4939,1.0,2
22,payment issue RoboChef Blender refunded 47429 also contacted 02 march got response,Billing Problem,Medium,RoboChef Blender,12,82,0.0,47431.0,2
23,FitRun Treadmill damaged stopped working 9 day,Product Defect,Low,FitRun Treadmill,7,46,-0.5859,9.0,2
24,cant log account keep showing blocked help,Account Access,Low,EcoBreeze AC,7,42,0.1531,0.0,1
25,tell FitRun Treadmill warranty also available black,General Inquiry,Low,FitRun Treadmill,7,51,0.0,0.0,1
26,facing installation issue RoboChef Blender setup fails step 6,Installation Issue,Medium,RoboChef Blender,9,61,-0.4215,6.0,2
27,facing installation issue wit led Vision LED TV setup fails step 6,Installation Issue,Low,Vision LED TV,12,66,-0.2023,6.0,1
28,tell RoboChef Blender warranty also available blue,General Inquiry,Medium,RoboChef Blender,7,50,0.0,0.0,2
